"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
3307,1389000,753031,28036.988,7917.000,"","","","",309.078,182288.141,1152.815,62845.992,222.953,228904.531,9363.189,546.349,121.270
9999,-1486394,-341146,35.879,"","","","","",0.078,86378.797,18258.346,893.970,11.881,223104.219,33268.922,706.961,285.811
3168,1999703,778477,39535.832,17907.000,"",12946.000,"","",98.377,163332.406,925.768,106315.570,536.165,227329.000,5631.555,333.720,37.613
7188,905526,142328,11375.265,8663.000,2488.000,599.000,114.000,3122.491,71.020,100986.883,2854.085,16517.949,2300.904,227269.328,17369.271,749.640,209.302
10379,1490783,-392037,43405.719,35738.000,20042.000,20081.000,10839.000,16188.542,3274.536,168857.781,56001.543,65400.344,36469.980,222831.547,63937.258,1281.791,1017.499
11762,752851,-722835,31336.578,3718.000,1366.000,"","",8258.651,882.543,233768.000,88298.164,56656.605,24838.998,233386.422,115563.938,1191.304,1084.066
6585,-2249773,218666,211.128,"","","","","",0.757,134574.219,10061.488,1440.870,6.385,229938.375,10499.243,684.802,101.966
5074,676513,473125,8615.549,37.000,"","","","",15.935,94793.062,991.241,31728.814,402.583,233140.625,75891.023,502.925,612.307
10427,-544893,-417483,"","","","","","","",154477.906,10860.619,1005.882,1.388,231449.031,21456.020,1211.705,386.519
12517,-341326,-1104524,1270.557,"","","","","","",69889.547,348.594,15307.894,32.355,227208.203,1286.792,640.841,12.868
4950,1719797,498571,34787.160,19941.000,1.000,11521.000,63.000,"",514.421,110870.547,1845.197,79868.945,2842.207,232664.125,11143.003,748.575,188.812
4458,1770689,574909,17240.361,12071.000,90.000,8127.000,352.000,0.752,373.055,153285.594,1840.329,35516.309,907.436,235457.297,9151.051,287.048,86.017
4757,1032756,524017,21608.738,704.000,"","","","",242.181,318448.594,51728.711,187152.734,1924.750,245135.375,61827.344,324.675,246.214
5778,-2224327,345895,1801.680,"","","","","",9.130,50295.648,90.272,10710.617,22.656,233075.672,21127.227,474.729,179.546
11048,-61420,-544713,2220.606,"","","","",289.821,"",136384.609,52896.512,12296.004,1851.679,233523.969,93450.570,992.044,1021.533
8275,243931,-35794,4233.601,45.000,5.000,"","",482.031,2.459,131286.500,2551.980,44842.574,2172.984,234473.469,10163.988,529.553,160.269
138,-1944421,1389180,35.048,"","","","","",0.116,91667.602,563.339,33033.410,288.626,231635.344,5563.065,400.891,54.820
5110,1592567,473125,28863.152,14010.000,4.000,4545.000,55.000,"",1660.549,204268.906,24163.961,33299.777,1267.100,237541.094,42778.965,1006.373,848.623
5767,1618013,371341,15048.198,10555.000,2549.000,7691.000,2563.000,1649.749,1204.875,87787.297,4151.874,24597.463,3169.017,230298.328,69385.023,465.611,308.394
4948,1668905,498571,43725.152,19634.000,2.000,5386.000,14.000,"",370.445,192649.625,6166.193,122093.836,869.161,241889.469,20960.154,929.443,418.066
7013,498391,167774,10421.803,2588.000,356.000,"","",541.634,106.529,276249.656,9171.341,28255.748,1243.156,242906.750,105067.961,407.722,531.583
5248,905526,447679,11055.991,99.000,"","","","",23.617,234195.203,19090.471,48229.105,249.877,241178.844,43484.723,746.942,652.236
7539,1745243,91436,7066.239,8670.000,3454.000,6925.000,2619.000,2848.729,471.687,51272.875,9655.706,22063.398,12836.446,236851.719,55380.039,1287.745,731.611
7351,1007310,116882,20976.520,21304.000,8654.000,7263.000,1474.000,8455.215,693.887,145766.703,20857.662,48171.512,14673.186,234336.031,40262.527,1237.423,637.534
1021,-2097097,1134720,1465.946,"","","","","",3.589,114638.172,498.031,7658.898,10.140,242056.797,5069.845,696.842,51.258
310,-1613624,1312842,1.789,"","","","","",0.004,194932.219,2694.686,19536.314,163.966,242899.250,9383.052,680.239,27.228
10762,-1384610,-493821,78.681,"","","","","",0.255,95442.531,4213.799,620.788,8.026,240924.297,17241.379,552.560,95.276
5325,-1308272,422233,1004.007,"","","","","",0.487,88248.984,32.079,3962.231,0.212,241488.906,2628.778,502.827,23.944
4619,1719797,549463,29870.566,12150.000,2.000,2196.000,11.000,0.051,105.205,185279.719,3208.060,76761.422,375.554,246739.094,17481.660,1056.534,299.559
10929,-137758,-519267,1543.450,"","","","",191.627,"",125741.516,5110.916,9156.947,491.493,240854.797,13683.239,638.775,97.269
12371,1389000,-951849,245.923,"","","","",46.528,0.165,87280.359,13279.766,3002.403,922.430,246916.250,40545.273,1436.806,548.582
3167,1974257,778477,47849.664,17386.000,"",9475.000,"","",351.199,192100.453,1625.717,193879.484,1435.029,248610.422,16368.854,529.056,135.565
12098,549283,-824619,5274.785,3441.000,2630.000,"","",2699.049,129.267,169017.172,16520.865,8182.194,4040.191,250772.219,52878.426,1263.465,780.238
10642,-1384610,-468375,78.681,"","","","","",0.255,116340.062,2219.113,620.788,8.026,251750.531,11325.256,577.390,62.583
5429,1338108,422233,21705.551,12179.000,3.000,2583.000,29.000,"",419.034,250719.672,4270.880,90102.922,2179.935,250185.656,7653.315,766.397,131.769
7347,905526,116882,10175.695,7458.000,2126.000,616.000,113.000,2638.325,36.853,137518.281,5393.666,16634.303,2058.431,252736.125,36479.227,984.459,393.010
3495,1999703,727585,24165.705,17308.000,1.000,11541.000,92.000,"",356.918,224869.469,1591.261,59844.531,488.513,255744.797,8074.178,1250.285,237.577
669,-2046205,1211058,452.999,"","","","","",0.371,79880.203,222.481,12157.309,29.679,250111.047,7958.108,538.212,75.479
4581,625621,549463,10906.106,37.000,"","","","",7.798,91431.234,73.801,25363.180,154.369,256596.422,7161.100,346.239,105.513
7187,880080,142328,93923.727,19096.000,2752.000,77.000,15.000,5318.295,2803.358,272177.875,69981.672,263625.719,43487.918,258588.625,66931.047,1255.734,897.213
5266,1363554,447679,21756.574,10335.000,3.000,1419.000,13.000,"",184.755,312543.781,10349.852,100735.570,1582.250,261079.125,34742.109,731.124,526.095
4784,1719797,524017,34522.586,16402.000,2.000,6332.000,56.000,"",375.755,205033.594,2646.545,96012.102,655.312,259235.594,22991.270,1300.398,531.141
2999,1796135,803923,57829.246,24693.000,"",5534.000,241.000,"",778.917,227149.547,3847.853,36048.562,215.209,261368.203,20458.057,563.659,279.668
5997,-773907,320449,145.870,"","","","","",0.191,99479.719,656.713,8921.890,54.109,252234.172,3586.532,438.887,36.607
4665,-1333718,524017,2273.696,"","","","",2.604,"",108449.836,3522.121,9315.655,43.962,259958.078,6568.659,968.301,110.116
4275,1058202,600355,3318.014,761.000,"","","","",29.934,378423.562,32934.438,7297.749,38.138,265784.250,33098.914,407.554,105.940
5073,651067,473125,8571.640,40.000,"","","","",15.141,146015.359,16802.197,23278.760,300.606,263604.156,36148.852,412.489,247.922
8972,-1918975,-163024,55.960,"","","","","",0.192,137285.641,2697.407,713.081,8.116,261145.547,28972.363,965.193,271.740
4742,625621,524017,13977.624,37.000,"","","","",17.278,113850.125,3503.554,43423.527,362.148,266214.312,12612.489,421.588,133.466
5287,-2275219,422233,1849.212,"","","","","",13.277,101800.672,1562.206,7575.118,6.855,267474.375,8546.682,713.009,88.628
7346,880080,116882,11231.760,7309.000,1656.000,439.000,83.000,1984.558,61.830,311879.219,21066.824,17842.932,1894.036,264758.438,58606.992,1004.821,593.638
8660,-2071651,-112132,203.067,"","","","","",0.005,84752.023,303.483,2481.945,9.596,268939.812,5216.349,761.682,43.831
3821,1897919,676693,19558.656,13702.000,2.000,11297.000,128.000,"",225.572,209883.594,2648.951,51258.293,500.956,271714.000,18961.021,828.782,790.043
5701,-61420,371341,68.000,"","","","","","",157574.672,2200.334,52781.105,773.466,266526.344,13318.686,575.564,204.527
5444,1719797,422233,15912.248,13188.000,323.000,8895.000,1045.000,108.320,2649.305,160387.828,10154.365,17295.658,2994.104,274793.781,64707.680,889.827,2685.447
6105,-2147989,295003,370.567,"","","","","",7.428,99594.602,456.693,3717.566,14.691,278028.938,10478.169,966.957,125.422
4907,625621,498571,12298.204,37.000,"","","","",9.691,115320.453,5046.856,26675.908,205.815,276473.062,24019.363,398.429,235.631
11045,-137758,-544713,1426.218,"","","","",178.523,"",127446.711,8276.760,9755.907,514.207,272372.062,43594.727,752.593,312.834
7721,-1689962,40544,135.114,"","","","","",0.016,18206.375,4623.217,102.539,0.370,267316.125,51725.055,877.305,499.323
9832,1363554,-290254,4643.452,6388.000,3127.000,1309.000,509.000,2307.014,60.884,196632.844,46546.562,36209.281,16282.363,277089.406,90727.938,908.756,673.600
